CODAUTO	CPRO	CMUN	DC	NOMBRE 
01	21	002	5	Aljaraque
11	06	009	3	Aljucén
16	20	006	5	Alkiza
03	33	001	9	Allande
12	32	001	3	Allariz
02	44	021	8	Allepuz
03	33	002	4	Aller
15	31	011	6	Allín/Allin
15	31	012	1	Allo
02	44	022	3	Alloza
02	44	023	9	Allueva
09	25	019	4	Almacelles
01	29	009	4	Almáchar
01	41	009	3	Almadén de la Plata
08	13	011	1	Almadén
08	13	012	6	Almadenejos
08	19	020	8	Almadrones
08	13	013	2	Almagro
07	42	017	7	Almajano
07	42	018	3	Almaluez
08	02	009	6	Almansa
07	24	004	2	Almanza
07	49	007	1	Almaraz de Duero
11	10	019	0	Almaraz
08	16	015	1	Almarcha, La
01	29	010	8	Almargen
17	26	012	5	Almarza de Cameros
07	42	019	6	Almarza
10	46	032	7	Almàssera
10	12	009	4	Almassora
09	25	020	8	Almatret
07	42	020	0	Almazán
07	42	021	7	Almazul
10	12	010	8	Almedíjar
08	13	014	7	Almedina
01	14	004	4	Almedinilla
01	18	016	6	Almegíjar
07	49	008	7	Almeida de Sayago
07	42	022	2	Almenar de Soria
09	25	021	5	Almenar
07	47	008	8	Almenara de Adaja
07	37	027	0	Almenara de Tormes
10	12	011	5	Almenara
07	37	028	6	Almendra
08	45	011	3	Almendral de la Cañada
11	06	010	7	Almendral
11	06	011	4	Almendralejo
01	21	003	1	Almendro, El
08	16	016	4	Almendros
01	41	010	7	Almensilla
01	04	013	9	Almería
10	46	033	3	Almiserà
02	50	021	2	Almochuel
01	04	014	4	Almócita
08	13	015	0	Almodóvar del Campo
08	16	017	0	Almodóvar del Pinar
01	14	005	7	Almodóvar del Río
01	29	011	5	Almogía
08	19	021	5	Almoguera
02	44	018	4	Almohaja
11	10	020	4	Almoharín
10	46	034	8	Almoines
02	50	022	7	Almolda, La
02	50	023	3	Almonacid de la Cuba
02	50	024	8	Almonacid de la Sierra
08	45	012	8	Almonacid de Toledo
08	19	022	0	Almonacid de Zorita
08	16	018	6	Almonacid del Marquesado
01	21	004	6	Almonaster la Real
01	21	005	9	Almonte
10	03	015	2	Almoradí
08	45	013	4	Almorox
09	43	011	5	Almoster
10	03	016	5	Almudaina
02	22	021	1	Almudévar
02	50	025	1	Almunia de Doña Godina, La
02	22	022	6	Almunia de San Juan
02	22	023	2	Almuniente
01	18	017	2	Almuñécar
08	13	016	3	Almuradiel
10	46	035	1	Almussafes
02	44	019	7	Alobras
08	19	023	6	Alocén
16	48	912	4	Alonsotegi
01	29	012	0	Álora
09	25	022	0	Alòs de Balaguer
01	21	006	2	Alosno
08	19	024	1	Alovera
01	29	013	6	Alozaina
09	17	006	2	Alp
01	29	014	1	Alpandeire
07	42	023	8	Alpanseque
02	50	026	4	Alpartir
13	28	010	5	Alpedrete
09	08	004	4	Alpens
02	44	020	1	Alpeñés
08	02	010	0	Alpera
09	25	023	6	Alpicat
10	46	036	4	Alpuente
01	18	904	3	Alpujarra de la Sierra
10	03	017	1	Alqueria d'Asnar, l'
10	46	037	0	Alqueria de la Comtessa, l'
10	12	901	8	Alqueries, les/Alquerías del Niño Perdido
02	22	024	7	Alquézar
01	18	018	8	Alquife
01	04	015	7	Alsodux
09	25	024	1	Alt Àneu
07	09	013	0	Altable
09	43	012	0	Altafulla
08	16	019	9	Altarejos
10	03	018	7	Altea
02	22	025	0	Altorricón
07	09	014	5	Altos, Los
15	31	010	9	Altsasu/Alsasua
10	12	012	0	Altura
16	20	906	6	Altzaga
16	20	007	1	Altzo
08	19	027	3	Alustante
10	46	017	4	Alzira
07	05	012	6	Amavida
07	34	009	1	Amayuelas de Arriba
02	50	027	0	Ambel
13	28	011	2	Ambite
09	17	007	8	Amer
12	15	002	6	Ames
15	31	013	7	Améscoa Baja
09	43	013	6	Ametlla de Mar, L'
09	08	005	7	Ametlla del Vallès, L'
07	09	016	1	Ameyugo
16	20	008	7	Amezketa
03	33	003	0	Amieva
12	32	002	8	Amoeiro
16	48	003	1	Amorebieta-Etxano
16	48	004	6	Amoroto
09	43	906	0	Ampolla, L'
09	43	014	1	Amposta
07	34	010	5	Ampudia
06	39	002	0	Ampuero
16	01	002	9	Amurrio
07	34	011	2	Amusco
07	47	009	1	Amusquillo
02	44	024	4	Anadón
07	37	029	9	Anaya de Alba
07	40	017	5	Anaya
13	28	012	7	Anchuelo
08	13	017	9	Anchuras
15	31	014	2	Ancín/Antzin
07	49	009	0	Andavías
10	46	038	6	Andilla
16	20	009	0	Andoain
02	44	025	7	Andorra
15	31	015	5	Andosilla
04	07	005	1	Andratx
01	23	005	0	Andújar
02	50	028	6	Anento
09	17	008	4	Anglès
09	25	027	3	Anglesola
08	19	031	3	Angón
17	26	013	1	Anguciana
02	22	027	9	Angüés
17	26	014	6	Anguiano
08	19	032	8	Anguita
07	09	017	7	Anguix
06	39	003	6	Anievas
02	50	029	9	Aniñón
10	46	039	9	Anna
16	20	010	4	Anoeta
08	19	033	4	Anquela del Ducado
08	19	034	9	Anquela del Pedregal
02	22	028	5	Ansó
15	31	016	8	Ansoáin/Antsoain
12	27	003	9	Antas de Ulla
01	04	016	0	Antas
10	46	040	3	Antella
01	29	015	4	Antequera
07	24	005	5	Antigua, La
05	35	003	8	Antigua
07	34	012	7	Antigüedad
02	22	029	8	Antillón
16	20	011	1	Antzuola
15	31	017	4	Anue
16	01	049	3	Añana
07	40	018	1	Añe
02	50	030	3	Añón de Moncayo
01	14	006	0	Añora
15	31	018	0	Añorbe
08	45	014	9	Añover de Tajo
07	37	030	3	Añover de Tormes
15	31	019	3	Aoiz/Agoitz
07	37	031	0	Arabayona de Mógica
01	21	007	8	Aracena
05	38	004	8	Arafo
02	22	032	4	Aragüés del Puerto
01	41	011	4	Arahal
07	40	019	4	Arahuetes
15	31	020	7	Araitz
16	48	005	9	Arakaldo
15	31	025	3	Arakil
16	20	012	6	Arama
16	01	003	5	Aramaio
15	31	021	4	Aranarache/Aranaratxe
07	42	024	3	Arancón
07	09	018	3	Aranda de Duero
02	50	031	0	Aranda de Moncayo
02	50	032	5	Arándiga
08	16	020	3	Arandilla del Arroyo
07	09	019	6	Arandilla
12	15	003	2	Aranga
15	31	023	5	Aranguren
13	28	013	3	Aranjuez
15	31	024	0	Arano
15	31	022	9	Arantza
16	48	006	2	Arantzazu
08	19	036	5	Aranzueque
10	12	013	6	Arañuel
07	37	032	5	Arapiles
10	46	041	0	Aras de los Olmos
15	31	026	6	Aras
07	09	020	0	Arauzo de Miel
07	09	021	7	Arauzo de Salce
07	09	022	2	Arauzo de Torre
08	19	037	1	Arbancón
09	25	029	2	Arbeca
08	19	038	7	Arbeteta
15	31	027	2	Arbizu
12	36	001	0	Arbo
09	43	016	7	Arboç, L'
01	04	017	6	Arboleas
09	43	015	4	Arbolí
09	17	009	7	Arbúcies
08	16	905	4	Arcas
15	31	028	8	Arce/Artzi
07	37	033	1	Arcediano
07	49	010	4	Arcenillas
14	30	009	8	Archena
01	29	016	7	Árchez
01	29	017	3	Archidona
08	45	015	2	Arcicóllar
07	37	034	6	Arco, El
07	34	015	1	Arconada
07	40	020	8	Arcones
07	42	025	6	Arcos de Jalón
01	11	006	4	Arcos de la Frontera
07	49	011	1	Arcos de la Polvorosa
08	16	022	5	Arcos de la Sierra
02	44	026	0	Arcos de las Salinas
15	31	029	1	Arcos, Los
07	09	023	8	Arcos
01	29	018	9	Ardales
02	50	033	1	Ardisa
07	24	006	8	Ardón
16	48	093	2	Areatza
15	31	030	5	Arellano
02	22	035	8	Arén
07	05	013	2	Arenal, El
08	13	903	5	Arenales de San Gregorio
06	39	004	1	Arenas de Iguña
08	13	018	5	Arenas de San Juan
07	05	014	7	Arenas de San Pedro
01	18	020	5	Arenas del Rey
01	29	019	2	Arenas
07	09	024	3	Arenillas de Riopisuerga
07	42	026	9	Arenillas
02	44	027	6	Arens de Lledó
09	08	006	0	Arenys de Mar
09	08	007	6	Arenys de Munt
17	26	015	9	Arenzana de Abajo
17	26	016	2	Arenzana de Arriba
10	12	014	1	Ares del Maestrat
12	15	004	7	Ares
15	31	031	2	Areso
16	20	013	2	Aretxabaleta
07	40	021	5	Arevalillo de Cega
07	05	015	0	Arevalillo
07	42	027	5	Arévalo de la Sierra
07	05	016	3	Arévalo
08	13	019	8	Argamasilla de Alba
08	13	020	2	Argamasilla de Calatrava
13	28	014	8	Arganda del Rey
07	24	007	4	Arganza
07	49	012	6	Argañín
02	22	036	1	Argavieso
08	19	039	0	Argecilla
09	17	010	1	Argelaguer
10	12	015	4	Argelita
09	08	008	2	Argençola
02	44	028	2	Argente
09	43	017	3	Argentera, L'
09	08	009	5	Argentona
08	45	016	5	Argés
06	39	005	4	Argoños
15	31	032	7	Arguedas
02	22	037	7	Arguis
08	16	024	6	Arguisuelas
07	49	013	2	Argujillo
15	31	033	3	Aria
04	07	901	3	Ariany
15	31	034	8	Aribe
05	38	005	1	Arico
07	09	025	6	Arija
02	44	029	5	Ariño
02	50	034	6	Ariza
01	23	006	3	Arjona
01	23	007	9	Arjonilla
07	09	026	9	Arlanzón
08	19	040	4	Armallones
15	31	035	1	Armañanzas
09	17	011	8	Armentera, L'
07	37	035	9	Armenteros
01	18	021	2	Armilla
16	01	006	6	Armiñón
01	04	018	2	Armuña de Almanzora
08	19	041	1	Armuña de Tajuña
07	40	022	0	Armuña
17	26	017	8	Arnedillo
17	26	018	4	Arnedo
09	43	018	9	Arnes
12	32	003	4	Arnoia, A
06	39	006	7	Arnuero
01	21	008	4	Aroche
05	38	006	4	Arona
07	49	014	7	Arquillinos
01	23	008	5	Arquillos
07	49	015	0	Arrabalde
16	01	037	6	Arraia-Maeztu
08	16	025	9	Arrancacepas
16	48	009	7	Arrankudiaga
16	20	055	1	Arrasate/Mondragón
16	48	914	5	Arratzu
16	01	008	8	Arratzua-Ubarrundia
07	09	027	5	Arraya de Oca
05	35	004	3	Arrecife
06	39	007	3	Arredondo
09	25	031	3	Arres
01	29	020	6	Arriate
16	48	010	1	Arrieta
16	48	011	8	Arrigorriaga
08	13	021	9	Arroba de los Montes
15	31	036	4	Arróniz
07	47	010	5	Arroyo de la Encomienda
11	10	021	1	Arroyo de la Luz
08	19	042	6	Arroyo de las Fraguas
11	06	012	9	Arroyo de San Serván
01	23	905	1	Arroyo del Ojanco
11	10	022	6	Arroyomolinos de la Vera
01	21	009	7	Arroyomolinos de León
11	10	023	2	Arroyomolinos
13	28	015	1	Arroyomolinos
15	31	037	0	Arruazu
17	26	019	7	Arrúbal
09	25	032	8	Arsèguel
04	07	006	4	Artà
15	31	038	6	Artajona
10	12	016	7	Artana
15	31	039	9	Artazu
16	48	023	7	Artea
12	15	005	0	Arteixo
05	35	005	6	Artenara
09	08	010	9	Artés
09	25	033	4	Artesa de Lleida
09	25	034	9	Artesa de Segre
02	50	035	9	Artieda
16	48	008	4	Artzentales
16	01	004	0	Artziniega
05	35	006	9	Arucas
12	15	006	3	Arzúa
09	43	019	2	Ascó
02	50	036	2	Asín
09	25	036	5	Aspa
07	49	016	3	Aspariegos
16	01	009	1	Asparrena
10	03	019	0	Aspe
16	20	014	7	Asteasu
16	20	903	5	Astigarraga
06	39	008	9	Astillero, El
